"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","-480606264.950485","-663369889.01433","-942478540.688586","-1309762900.9952","-1829305681.98229","-1896655282.54027","-1674191270.82786","-1395938726.16493","-1678795062.44922","-1527027397.33888","-1708694420.02741","-1615000802.4229","-1778862048.53991","-2387325689.49489","-1895840930.87395","-1650022838.99286","-1561350613.08649","-1515339352.99061","-1851345900.48272","-3157115126.18329","-2836515602.01405","-2307212151.30024","-2087438608.91848","-2696292969.48389","-2458878888.10143","-2817985657.31352","-2234843547.53366","-3141653816.41339","-3854880482.14049","-4156759716.05123","-3896303860.1296","-5462928581.36726","-7672641808.74828","-6025299151.95922","-7816344792.83922","-10888026891.2585","-10157899098.9677","-9933198074.62348","-12119389611.999","-10606498175.2763","-10505302542.1777","-17594487835.4604","-21457169885.0705","-19272605860.5841","-18300384906.6327","-36008206263.1851","-33568494214.0902","-14287605601.138",
"Bulgaria","BGR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","1308000000","293000000","287000000","55000000","514000000","-112000000","-856000000","-514000000","-76000000","-254000000","-1077000000","-117900000","-307200000","-943400000","-6000000","274500000","307700000","546700000","-8020423.355652","-766710358.940426","-669989777.212585","-1327927121.52239","-1209902300.43731","-2061604764.8916","-2896945990.97014","-4449983421.99429","-5844352050.21159","-8945175667.26605","-10620241928.2913","-3922786473.94819","-1627160000","170110000","-1886240000","-385580000","146260000","473170000","2699850000","2647390000","1710320000","2280790000","1747790000","2125980000","985300000","4219940000",
"Bahrain","BHR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","90012642.4526237","-33872670.0229971","-28560596.5589803","40004817.887758","348254470.146655","304774346.064676","368617022.25696","364920213.73649","51063829.9230423","331117021.643525","523670212.765957","472074468.085106","325797872.340425","449734042.553192","264095744.680851","120478723.404255","-490425531.914894","-588031914.893617","177127664.677881","316489391.162576","675266009.827816","718617083.391105","607180907.583328","44414898.0466985","1052961957.63308","2044070281.64894","1811550028.19149","1332161989.80497","1775601799.20213","2166297712.58865","3109957700.70922","4103227902.39362","4688031914.89362","4955053191.48936","4350797872.34043","4784840425.53192","9061702127.65958","5659840425.53191","5771542553.19149","5520212765.95745","3351063829.78723","2694148936.17021","2855585106.38298","2910372340.42553","4356382978.7234","1952393617.02128","7657180851.06383","11513031914.8936","7970212765.95745",
"Bahamas, The","BHS","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","140700000","122900000","142700000","92500000","58600000","12300000","10400000","28100000","61300000","175400000","205400000","130400000","111900000","41500000","130600000","-12000000","106400000","153260000","68100000","-28100000","-151700000","-358800000","-832100000","-403400000","-570760000","-556100000","-281323042.557","-369790000","-416580000","-603804537.741","-1237750000","-1135298058.99422","-1112196412.431","-670319000","-576589000","-930926000","-1247731400","-1168058000","-1513316594.86294","-815857514.44974","-585952462.183125","-1158779778.81241","-364418785.555463","324221272.858007","-1722379433.88589","-1617321175.32263","-417261475.674217","-267677227.017691",
"Bosnia and Herzegovina","BIH","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2925389370.83722","-3117889819.77411","-2577518132.81806","-2730065298.51948","-3120639139.59946","-3821941979.2465","-4138362133.57751","-4345529639.45764","-3624941968.5814","-4662020359.93845","-6229877854.77118","-4194259998.58544","-3699616132.55731","-4434962079.82806","-4035721592.83707","-3724521863.46057","-4198572495.40221","-2961519174.21344","-2810928851.09672","-2940154629.0582","-2963549337.95131","-2957316131.70518","-2706264703.82631","-2622901991.03197","-3328559415.9637","-3243798921.66033",
"Belarus","BLR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-479800000","-437700000","-483300000","-576400000","-853000000","-1019200000","-255500000","-567100000","-633700000","-473400000","-692400000","-1493900000","341600000","-1492100000","-2810400000","-4646800000","-5597200000","-7481800000","-1188200000","2863200000","-2300600000","-444100000","132400000","-8800000","100100000","929100000","-403000000","1947600000","3950314056.96","4686035287.81","249426569.050001",
"Belize","BLZ","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","-17100000","-13100000","-13050000","-14100000","-20750000","-40750000","-3850000","-43000000","-42900000","-60500000","-42201500","-28143500","-11710000","-43315000","-63297500","-70653468.46","-166561465.90375","-162844254.468061","-141161220.765321","-135689422.722701","-84088082.0113377","-88005496.071037","25931934.0018133","13477104.0825889","-91248702.9103413","-53959075.1280521","19961433.0748313","-5491301.2052109","9363001.6298624","-27570992.447436","-67121775.1502315","-148978201.235808","-163283832.513023","-56978145.601239","-83794802.70071","-100716723.794308","-187195108.458476","-206457407.047168","-204514136.129337","-37145635.6283785",
"Bermuda","BMU","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-338490000","-650029970.091134","-712497097.004797","-693118178.729979","-585289486.165294","-326799752.461443","-399084688.584863","-515927552.12556","-605016880.405959","-568413579.362972","-610483019.836141","-649147240.362098","-611553069.983311","-618767800.17432","-696022076.187566","-789315041.099342","","",
"Bolivia","BOL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","-36000000","-65800000","-244600000","-265900000","197200000","-142100000","192300000","117500000","152200000","11000000","-175700000","-266300000","-174900000","-160900000","-109500000","-198100000","-578800000","-536500000","-171700000","-340100000","-418490000","-648500000","-844800000","-678100000","-607815903.97","-458745530.02828","-516682880.93811","-86907789.367575","231061237.172873","414848470.908809","892459631.560589","814530371.934917","1244957796.03459","274170000","681407338.7748","345773475.203279","2339083705.3513","1691971936.9631","1082959462.10384","-1979737198.24535","-2514014188.13787","-2173220117.97295","-1992410887.07075","-1686182613.50533","-624744932.577178","1407479875.12692","1002762494.13252","-1083374855.39243",
"Brazil","BRA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-4994000000","-3971000000","-1686000000","-2882000000","-5041000000","-5957000000","-1688000000","-2810000000","4062000000","11337000000","10762000000","5731000000","8794000000","16145000000","13327000000","6986000000","6687000000","11897000000","8739000000","5515000000","-10652000000","-13512000000","-19380594698.5763","-18610746032.7427","-9991935231.31036","-10570608610.0643","-7220433515.30619","5921177448.69253","17461618605.616","25829510957.0654","33674229216.4115","33452513822.936","22217254175.7016","1980084511.86791","2316649166.28788","-19368906955.83","-16829708574.575","-31639635804.95","-54583362068.38","-63791507501.575","-28224926938.445","7888268360.8","15770565742.07","5020740727.415","-8913681707.435","11006501378.435","15355119391.01","11904130388.81","52175686567.205",
